s1	n_true	n_true_s2	n_true_s3	validation
S1-292425300	4	2	2	0
S1-70700827	4	3	1	0
S1-20854090	6	4	2	0
S1-555331810	6	3	3	0
S1-344076433	5	1	4	0
S1-497494073	4	3	1	0
S1-929250030	5	2	3	0
S1-190755038	4	1	3	0
S1-844665886	4	1	3	0
S1-386616083	3	2	1	0
S1-766190032	3	1	2	0
S1-637682746	3	3	0	0
S1-73042441	1	1	0	0
S1-966975112	4	3	1	0
S1-765492540	4	3	1	0
S1-394741843	4	2	2	0
S1-126749530	4	1	3	1
S1-800301400	2	2	0	0
S1-751768851	7	4	3	1
S1-135228752	5	3	2	0
S1-330704463	4	2	2	0
S1-715093471	4	3	1	0
S1-909865811	3	1	2	0
S1-516121609	2	1	1	0
S1-295956209	3	1	2	0
S1-869738580	3	2	1	1
S1-670878086	4	3	1	0
S1-294675541	6	3	3	0
S1-457373777	6	2	4	0
S1-90744994	4	1	3	0
S1-717116284	4	2	2	1
S1-251116738	5	3	2	0
S1-405520008	3	2	1	0
S1-343468098	5	2	3	0
S1-120976380	4	1	3	0
S1-638615315	0	0	0	0
S1-166440928	3	2	1	0
S1-64605833	3	1	2	0
S1-443229916	4	2	2	0
S1-33990096	4	3	1	0
S1-221908015	4	1	3	1
S1-952125355	3	2	1	0
S1-143634159	5	5	0	0
S1-476147248	5	4	1	1
S1-523368208	4	2	2	1
S1-669269256	4	2	2	0
S1-433673030	2	1	1	0
S1-259194735	2	0	2	0
S1-464387602	4	3	1	1
S1-390571955	3	2	1	0
S1-322399583	4	1	3	0
S1-951589290	2	1	1	0
S1-610091667	6	4	2	0
S1-935579518	4	2	2	0
S1-143375921	4	2	2	0
S1-201401730	2	1	1	0
S1-395101858	3	1	2	1
S1-366371944	5	1	4	0
S1-705537888	4	3	1	0
S1-470979021	3	1	2	0
S1-973635458	7	3	4	0
S1-923512701	5	3	2	0
S1-710482979	6	2	4	1
S1-119952111	4	3	1	1
S1-725572925	2	1	1	0
S1-24251581	4	2	2	0
S1-104820451	4	2	2	0
S1-128575209	3	3	0	0
S1-674626895	6	2	4	0
S1-754614876	4	1	3	1
S1-739708548	0	0	0	0
S1-176326297	3	1	2	1
S1-562883878	4	3	1	0
S1-192066115	4	2	2	0
S1-200897914	0	0	0	0
S1-728508650	3	1	2	0
S1-678017673	2	1	1	1
S1-408379615	3	2	1	0
S1-274867440	6	4	2	0
S1-363988940	3	1	2	0
S1-570080359	2	1	1	0
S1-305585344	5	3	2	0
S1-80983688	5	3	2	0
S1-775935177	4	2	2	0
S1-359568933	3	2	1	0
S1-90629234	1	1	0	0
S1-875565655	2	1	1	1
S1-824026422	5	1	4	0
S1-699765102	4	2	2	1
S1-989048253	2	1	1	0
S1-14964211	4	2	2	0
S1-523936416	3	2	1	0
S1-875966477	2	1	1	0
S1-472361911	5	1	4	0
S1-302987319	4	1	3	0
S1-948387568	3	1	2	0
S1-456953898	4	2	2	0
S1-220723393	1	0	1	0
S1-761192021	6	3	3	0
S1-480109307	4	2	2	0
S1-743833663	2	1	1	0
S1-546733860	0	0	0	0
S1-876059462	4	3	1	0
S1-32551850	1	0	1	0
S1-72970794	2	1	1	0
S1-624060071	3	2	1	0
S1-895343683	3	1	2	1
S1-340160443	4	3	1	0
S1-216969439	3	2	1	0
S1-396548246	4	2	2	0
S1-681285784	4	1	3	0
S1-952069020	2	1	1	0
S1-708650047	1	0	1	0
S1-467403342	3	2	1	0
S1-504862013	3	2	1	0
S1-717921191	5	4	1	0
S1-511252395	5	2	3	0
S1-279280299	6	2	4	1
S1-888885558	3	2	1	1
S1-281474650	2	1	1	0
S1-53054310	2	1	1	0
S1-845355596	4	2	2	0
S1-664923265	1	0	1	0
S1-754067009	3	1	2	0
S1-324136113	5	2	3	0
S1-931073229	4	1	3	0
S1-548405427	4	3	1	0
S1-674852082	1	0	1	0
S1-611300372	3	3	0	0
S1-250000863	0	0	0	0
S1-808275647	5	3	2	1
S1-825411169	4	2	2	0
S1-747845179	2	2	0	0
S1-422650147	4	1	3	0
S1-525252486	3	2	1	0
S1-978593304	6	1	5	0
S1-864734280	1	1	0	0
S1-790901880	6	2	4	0
S1-113086118	4	1	3	1
S1-402965427	5	1	4	0
S1-162635690	2	1	1	0
S1-366219412	6	3	3	1
S1-356575341	3	1	2	0
S1-340331277	4	2	2	0
S1-391814388	2	1	1	0
S1-715529697	3	2	1	0
S1-860418255	6	3	3	1
S1-212307584	5	2	3	0
S1-281154469	2	1	1	0
S1-559563624	3	1	2	0
S1-899387575	2	1	1	0
S1-148990701	4	1	3	0
S1-840853418	3	2	1	0
S1-745129388	4	3	1	0
S1-775889398	6	3	3	0
S1-355343805	0	0	0	0
S1-155365106	2	1	1	0
S1-109434108	3	1	2	0
S1-627415097	3	3	0	0
S1-155964227	3	1	2	0
S1-963433189	6	2	4	0
S1-538761824	5	3	2	0
S1-443929163	3	1	2	0
S1-806598334	4	1	3	0
S1-636697059	7	3	4	0
S1-212383601	9	5	4	1
S1-971914276	3	2	1	0
S1-126638291	6	3	3	0
S1-17139764	3	2	1	0
S1-874835917	6	4	2	0
S1-32184405	1	0	1	0
S1-839027913	3	1	2	0
S1-466668920	4	1	3	0
S1-625927274	3	2	1	0
S1-785555926	4	2	2	0
S1-2590853	2	1	1	0
S1-178906804	6	2	4	1
S1-595165347	2	0	2	0
S1-544607980	6	2	4	0
S1-11150622	5	1	4	0
S1-951050786	3	1	2	0
S1-916388791	3	2	1	1
S1-203563207	3	0	3	0
S1-687823856	7	3	4	0
S1-363797505	0	0	0	1
S1-873369409	0	0	0	0
S1-64262138	3	2	1	0
S1-923804570	2	1	1	1
S1-700768976	4	2	2	0
S1-811970522	4	2	2	0
S1-147967017	3	2	1	0
S1-77242710	3	1	2	0
S1-637610786	6	3	3	0
S1-284747519	2	1	1	0
S1-557062704	3	1	2	0
S1-737651217	3	1	2	0
S1-700703528	2	1	1	0
S1-387556268	3	2	1	0
S1-535935070	4	1	3	0
S1-669268532	2	1	1	0
S1-472872032	4	1	3	0
S1-203411397	2	2	0	1
S1-545505378	6	3	3	0
S1-90779351	4	3	1	0
S1-704422081	5	1	4	0
S1-895629426	0	0	0	0
S1-869697937	7	3	4	0
S1-377390065	3	2	1	0
S1-566594986	5	4	1	1
S1-719674008	4	3	1	0
S1-258620205	3	3	0	0
S1-586781791	5	2	3	0
S1-339268807	4	3	1	0
S1-61525199	6	3	3	0
S1-345160976	5	2	3	0
S1-107296667	9	4	5	0
S1-121953695	4	1	3	0
S1-758032930	4	0	4	0
S1-287812684	4	2	2	0
S1-823862117	2	2	0	1
S1-425530773	4	2	2	0
S1-124289880	3	1	2	0
S1-187759653	2	2	0	0
S1-688558807	1	0	1	0
S1-12302769	3	3	0	0
S1-225004755	5	3	2	0
S1-536491372	3	2	1	0
S1-905495035	3	1	2	0
S1-486247251	3	2	1	0
S1-437727301	5	2	3	0
S1-953030810	3	0	3	1
S1-968399933	2	1	1	0
S1-170142243	3	1	2	0
S1-137710145	3	1	2	0
S1-9608330	6	1	5	1
S1-533520548	5	2	3	1
S1-910936247	7	4	3	0
S1-183541639	0	0	0	0
S1-29673951	5	3	2	0
S1-894209622	2	0	2	0
S1-380180035	4	2	2	0
S1-847561990	3	2	1	1
S1-612389570	1	1	0	0
S1-551425716	5	3	2	0
S1-871862040	2	1	1	0
S1-981924649	5	2	3	0
S1-539731344	0	0	0	0
S1-143053291	2	1	1	0
S1-910256204	4	3	1	0
S1-318096834	2	2	0	1
S1-607914755	4	1	3	0
S1-210094635	3	1	2	0
S1-175441667	4	2	2	0
S1-988224648	3	2	1	0
S1-51934670	4	1	3	1
S1-343904895	5	2	3	1
S1-884275601	1	0	1	0
S1-926336911	2	1	1	0
S1-555109000	2	0	2	0
S1-392055442	6	1	5	0
S1-441023683	4	2	2	0
S1-721302221	5	3	2	0
S1-178168817	3	1	2	0
S1-13582598	2	2	0	0
S1-805606466	2	1	1	0
S1-738735280	4	2	2	0
S1-446596565	3	2	1	0
S1-957761249	9	4	5	0
S1-109240534	2	1	1	1
S1-363682780	5	3	2	0
S1-321285349	4	2	2	1
S1-177670401	6	3	3	1
S1-668797067	3	1	2	1
S1-592166274	3	1	2	1
S1-335908661	5	3	2	0
S1-963966855	4	2	2	1
S1-276892661	2	0	2	0
S1-400898759	2	1	1	0
S1-419249483	3	2	1	0
S1-573794228	2	1	1	0
S1-352472108	5	1	4	0
S1-602733172	4	3	1	0
S1-498567090	2	1	1	0
S1-496362623	1	0	1	0
S1-529401235	4	1	3	1
S1-423255369	1	0	1	0
S1-613851541	3	2	1	0
S1-123862687	4	2	2	0
S1-292826156	3	1	2	0
S1-985209628	2	1	1	0
S1-241854648	3	1	2	0
S1-731410268	3	2	1	0
S1-176334853	1	0	1	1
S1-407728675	4	1	3	0
S1-78859240	4	3	1	0
S1-558827102	2	1	1	0
S1-960257855	5	3	2	0
S1-329333831	5	3	2	1
S1-563668231	4	1	3	0
S1-678192666	2	1	1	1
S1-38651871	2	1	1	0
S1-344152319	3	1	2	1
S1-735977273	2	1	1	0
S1-655845077	3	2	1	1
S1-546629435	3	2	1	1
S1-638163872	1	1	0	0
S1-893847462	0	0	0	0
S1-401952529	1	1	0	1
S1-616936605	3	2	1	0
S1-178542661	2	0	2	1
S1-854479723	3	1	2	0
S1-382073428	4	1	3	0
S1-228888854	3	1	2	1
S1-166187937	6	2	4	0
S1-643156288	5	1	4	0
S1-14592507	4	1	3	0
S1-519491247	5	4	1	0
S1-997060460	3	3	0	0
S1-699460640	2	1	1	1
S1-265015064	2	1	1	1
S1-213333270	5	3	2	1
S1-943923378	1	1	0	0
S1-832809894	3	2	1	0
S1-907366094	3	2	1	0
S1-471700224	5	2	3	1
S1-625849070	5	3	2	0
S1-570740	1	1	0	0
S1-74148743	3	2	1	0
S1-341892772	5	2	3	0
S1-949167186	2	1	1	0
S1-955856940	2	1	1	0
S1-856314398	7	3	4	0
S1-109584569	3	1	2	0
S1-327268225	5	3	2	0
S1-547009245	5	3	2	0
S1-271048276	5	2	3	0
S1-296463233	2	1	1	0
S1-114599617	2	1	1	1
S1-491299631	7	3	4	0
S1-638191009	3	1	2	0
S1-84953270	3	1	2	0
S1-238344467	3	2	1	0
S1-885988979	4	3	1	0
S1-376112434	4	2	2	0
S1-716024722	2	1	1	0
S1-113604619	4	1	3	0
S1-553412096	4	2	2	1
S1-732008692	2	1	1	0
S1-240442490	5	3	2	0
S1-557339930	2	1	1	1
S1-598102801	2	1	1	0
S1-147396281	4	2	2	0
S1-99849346	8	4	4	0
S1-158196518	4	1	3	0
S1-588556189	1	0	1	0
S1-968717744	2	1	1	1
S1-698232418	2	1	1	0
S1-983191141	5	2	3	0
S1-316850921	3	1	2	0
S1-876437615	2	1	1	1
S1-690051769	5	2	3	0
S1-742110882	4	2	2	0
S1-435159240	4	0	4	1
S1-865704860	6	2	4	0
S1-730978196	3	2	1	1
S1-809506395	5	4	1	0
S1-92299634	6	4	2	0
S1-92471824	1	0	1	1
S1-256525738	5	3	2	0
S1-217842408	4	2	2	0
S1-845601778	5	3	2	0
S1-466865689	2	1	1	0
S1-572302194	2	1	1	0
S1-148906214	2	1	1	0
S1-121009264	4	1	3	0
S1-311670803	3	1	2	1
S1-259306643	4	1	3	0
S1-447521690	1	1	0	1
S1-549815345	2	1	1	1
S1-569592374	2	1	1	0
S1-157731220	4	1	3	1
S1-254143156	4	1	3	0
S1-387795523	1	1	0	0
S1-210120797	5	2	3	0
S1-696467789	0	0	0	0
S1-348459651	3	0	3	0
S1-981623181	3	1	2	0
S1-926177460	3	1	2	0
S1-300818091	4	2	2	0
S1-51675871	6	0	6	0
S1-70586330	4	2	2	0
S1-678707462	3	1	2	0
S1-156357874	0	0	0	0
S1-175527944	3	0	3	0
S1-606782085	3	3	0	0
S1-871787978	3	2	1	0
S1-357151525	3	2	1	0
S1-327510317	4	2	2	1
S1-233590245	3	2	1	0
S1-953976149	5	2	3	0
S1-337417350	8	2	6	0
S1-987851086	2	1	1	0
S1-713978293	3	2	1	1
S1-959226634	2	1	1	0
S1-584304716	4	2	2	0
S1-915956925	3	2	1	0
S1-304957676	3	2	1	0
S1-318362317	5	3	2	0
S1-433732434	4	2	2	0
S1-263538788	4	3	1	0
S1-612248494	5	1	4	0
S1-446933443	3	1	2	1
S1-983198006	1	1	0	0
S1-246814476	3	2	1	0
S1-305887458	3	1	2	0
S1-145110237	4	2	2	0
S1-697861406	5	4	1	0
S1-510351934	5	1	4	0
S1-213018937	6	4	2	0
S1-631794470	4	2	2	0
S1-475258888	2	1	1	0
S1-155978888	0	0	0	1
S1-835537702	4	2	2	0
S1-199402106	2	1	1	0
S1-375665760	3	1	2	0
S1-386087329	3	2	1	0
S1-368953797	2	1	1	1
S1-339798310	3	2	1	0
S1-635747867	0	0	0	0
S1-145485432	5	3	2	0
S1-389061762	4	3	1	0
S1-938848060	3	1	2	1
S1-901623024	6	4	2	0
S1-21804007	4	2	2	0
S1-585527898	6	5	1	0
S1-142550690	2	1	1	0
S1-659047500	2	1	1	1
S1-380124492	7	3	4	0
S1-93897008	6	4	2	0
S1-256023634	4	2	2	0
S1-395840505	5	1	4	0
S1-911379179	4	2	2	1
S1-714338522	2	1	1	0
S1-80142402	3	2	1	0
S1-750589028	5	3	2	0
S1-457616829	5	1	4	1
S1-752372961	3	2	1	0
S1-941261133	3	1	2	1
S1-509859051	4	2	2	0
S1-489728277	3	3	0	0
S1-393121857	3	2	1	0
S1-753710812	4	2	2	0
S1-614703192	3	2	1	0
S1-326573634	4	1	3	1
S1-245597658	5	3	2	0
S1-44702308	3	2	1	0
S1-534179228	4	2	2	0
S1-843179540	5	3	2	0
S1-694573212	4	2	2	0
S1-904029408	4	3	1	1
S1-669055356	2	1	1	0
S1-970960074	2	0	2	0
S1-444171244	3	3	0	0
S1-59710082	2	1	1	0
S1-693728125	3	2	1	0
S1-838062183	5	2	3	1
S1-56670121	5	2	3	0
S1-895602816	4	3	1	0
S1-666331152	4	2	2	0
S1-623561907	4	1	3	0
S1-84100108	5	1	4	0
S1-195523486	6	1	5	0
S1-413526081	6	5	1	0
S1-199415802	4	2	2	0
S1-315244635	3	1	2	1
S1-564025090	4	2	2	1
S1-176472761	4	0	4	0
S1-675694926	3	1	2	0
S1-630149953	6	4	2	0
S1-577714788	1	1	0	0
S1-574959068	4	1	3	0
S1-660760694	3	1	2	0
S1-482766178	3	2	1	0
S1-319998043	3	1	2	0
S1-194130245	3	2	1	0
S1-132449362	7	1	6	0
S1-322306409	2	0	2	0
S1-311725940	2	1	1	0
S1-942703331	6	1	5	0
S1-315840301	4	0	4	0
S1-827088167	7	5	2	1
S1-584318067	3	2	1	1
S1-483987538	2	1	1	0
S1-569790321	4	1	3	0
S1-202442008	4	2	2	0
S1-434312569	3	2	1	0
S1-880614920	2	1	1	0
S1-112998882	5	2	3	0
S1-973936431	3	2	1	0
S1-136059720	2	1	1	0
S1-296275047	1	0	1	0
S1-874748052	2	1	1	0
S1-590712948	0	0	0	0
S1-984787640	5	2	3	0
S1-992465780	7	3	4	1
S1-535678414	3	1	2	0
S1-274595093	4	2	2	1
S1-992298300	4	2	2	0
S1-303213003	5	3	2	0
S1-385689529	3	1	2	0
S1-997158670	3	1	2	1
S1-502781798	3	2	1	0
S1-331907483	2	2	0	0
S1-886534800	4	1	3	0
S1-459704850	4	3	1	0
S1-552644519	3	2	1	0
S1-580139448	2	1	1	0
S1-446411115	7	5	2	0
S1-604403095	5	2	3	0
S1-470696549	4	3	1	0
S1-236871158	4	2	2	0
S1-37388827	3	0	3	1
S1-438961132	2	1	1	0
S1-632560860	4	2	2	0
S1-709854502	6	4	2	0
S1-272009045	5	3	2	0
S1-928317799	4	1	3	1
S1-404137463	4	2	2	0
S1-246025488	3	1	2	0
S1-320454471	4	1	3	0
S1-329059287	4	3	1	0
S1-130020624	2	2	0	0
S1-939272137	4	2	2	0
S1-614166735	6	2	4	0
S1-95496963	0	0	0	0
S1-571751431	4	1	3	1
S1-456299450	5	2	3	0
S1-572893274	2	0	2	0
S1-483667027	3	2	1	0
S1-658118434	1	1	0	1
S1-249389797	5	3	2	0
S1-434607086	2	0	2	0
S1-612417837	3	1	2	0
