source1_entity_id	matched_entity_ids
S1-118885341	S2-446997696,S3-216368122,S3-830383567
S1-118904559	S2-568434919,S2-74141673,S2-792719522,S3-191211002,S3-865347112,S3-936757208
S1-11892622	S2-376719830,S3-9510368
S1-119008218	S2-574746488,S3-169664067
S1-119010611	S2-191199229,S2-669308887,S3-590189717
S1-119189253	
S1-119344953	
S1-11948467	S2-864499023
S1-119658369	S2-107230263,S2-913687535,S3-183627429,S3-340222773,S3-365811934
S1-119747566	
S1-119807163	S2-70947750,S3-595158418
S1-119907076	S2-521966378,S2-913227907,S3-539400734,S3-876088211
S1-120073209	S2-210332671,S2-624056198,S3-224059764,S3-24965632,S3-538286014,S3-58309470,S3-815055605
S1-120144145	S2-507595800,S2-999000606,S3-390944571,S3-691020068,S3-794982358,S3-815073176
S1-120199276	S2-395547679,S2-619652885,S3-410785142,S3-418464425
S1-120201857	S2-236172941,S2-415085622,S2-808298328,S3-849511340
S1-120506554	S2-824408203,S3-874656420
S1-120584983	S2-742745926,S2-784979893,S2-946682276
S1-120606739	S3-354040078
S1-120612278	S2-595929653,S2-619619108,S3-412632223
S1-120612553	S2-739313215,S2-930042395,S3-282624835,S3-642882450,S3-883098969
S1-120714060	S2-204825340,S2-413645246,S2-758181491,S2-787974738,S3-191411399
S1-120724523	S2-164930914,S3-8640383,S3-951546586
S1-12075135	S2-886461076
S1-120886996	S2-202499371,S2-507569300
S1-120910048	S3-89570366
S1-120929224	S2-234546453,S2-332465315,S3-266820599,S3-549102078,S3-648947595,S3-653551391
S1-121034761	S3-345637283
S1-121049872	S2-299547240,S2-88601526,S3-47516731
S1-121066675	S2-177381326,S2-571231806,S2-83341010,S3-733455523,S3-976259524
S1-1210917	S2-138588776,S2-358951588,S3-452345933,S3-521004712
S1-121346303	S2-906326333,S2-940732670,S3-449349941,S3-981615198
S1-12204192	S2-812785532
S1-122161613	S2-918240399,S2-925387994,S3-514614647
S1-122184390	S2-543577591,S2-723118215,S3-221347482,S3-66886837
S1-122402532	S3-396782588,S3-480537452
S1-12246487	S2-59465461,S3-528166482
S1-122572130	S2-483183047,S2-714390500,S3-154261460,S3-15548095,S3-905610841
S1-122577531	S2-329915187,S2-864781829,S3-577406090,S3-774114431,S3-844287061
S1-122594850	S3-786932683
S1-122912759	S2-103758769,S2-190893813,S2-646393278,S3-791384894
S1-122970715	S2-377104658,S2-666532193,S3-512358296,S3-558395800
S1-122985619	S2-247082541,S2-513328121,S2-569972014,S2-57484367,S2-883626836,S3-891190423
S1-12302769	S2-305467674,S2-755451052,S2-77611731
S1-123042575	S2-344009605,S2-448378819,S2-99229177,S3-123228927,S3-37698848
S1-123091379	S2-256703244,S2-25873938,S2-298849666,S2-571121919,S2-757459978,S3-117850004,S3-446049628
S1-123130491	S2-721029678,S3-809459492
S1-123251517	S2-852519347,S3-162352897,S3-247971675,S3-425498772,S3-872145763,S3-993176007
S1-123261142	S2-941471800,S3-205550847,S3-434452073,S3-47597722,S3-802716992
S1-123279797	
S1-123296824	S3-140184809,S3-813329794,S3-880896810
S1-123298375	S2-162262643,S2-548078947,S3-464150321,S3-465204774
S1-123329706	S2-2067514,S2-525491216,S3-334357374
S1-123389217	S2-420901026,S2-5513312,S3-429070963,S3-460475627
S1-123613073	S2-322064107,S2-927687526,S3-273498590
S1-123709187	S2-219977438,S2-396540947,S2-444885084,S3-354072889,S3-552596073
S1-123736892	S2-178747627,S2-723865518,S2-982542002,S3-264508170
S1-124037928	S2-270056665,S2-89582488,S2-895964644,S3-964703672
S1-12423093	S2-437463904,S3-135243762,S3-545909557,S3-767874590
S1-124231112	S3-731261103
S1-124702505	S2-883185310,S3-3269900,S3-518792819,S3-54499277,S3-915068488
S1-124854701	S2-174481657,S3-257901580
S1-124904622	S2-456762571,S3-384952704
S1-125030987	S2-683904700,S3-622397957
S1-125049456	S2-154680507,S2-819438351,S3-171999211,S3-348871269
S1-125104207	S2-357738236,S2-364519503,S3-520587258
S1-125238994	S2-771649715,S3-141445585,S3-245994623
S1-125359047	S2-424322450,S3-551368756,S3-621464705
S1-125402390	S2-108486004,S2-147983391,S2-769656023,S3-431801134
S1-125438625	
S1-125531410	S2-138729104,S2-58611625,S3-100313524
S1-125607800	S3-224310971
S1-125679411	S2-103763199
S1-125754064	S2-365027922,S2-465112895,S3-803751031,S3-841764168
S1-125837651	S2-765892078,S3-756886115
S1-125890414	S2-193331899,S3-854617137
S1-125905322	S2-500847490,S2-511784550,S2-766959067,S3-889904422,S3-994766010,S3-998610575
S1-12597716	S2-857445045,S3-84232860
S1-125985822	S2-217052949,S2-582631991,S3-217788071
S1-126030465	S2-950817706,S3-277624989
S1-126149165	
S1-126206687	S2-166366914,S2-591908530,S2-748855659,S3-296105937,S3-574512442
S1-126401401	S2-395040673,S3-685678126,S3-693585969
S1-126425263	S2-106449898,S2-529096932,S2-591843658,S3-437362408,S3-522318671,S3-915363991
S1-126533965	S2-19376964,S3-286210779
S1-126534769	S2-384253750,S2-672953211,S3-450397822,S3-46504689
S1-126657217	S2-293779932,S2-470671229,S2-862942780,S2-978571195,S3-625198994,S3-790854258
S1-126740965	S2-245842521,S2-57194845,S3-792725790
S1-126749530	S2-67867362,S2-904059221,S3-565128437,S3-808108278
S1-126970409	S2-326532264,S3-192355456,S3-455064459,S3-619483970,S3-781318489,S3-838050555
S1-127088658	S2-481096772,S2-640143508,S3-318925711,S3-656801446,S3-686528358
S1-127139759	S2-208167177,S2-286048148,S2-568345728,S2-747022223,S3-539487567,S3-588834700
S1-127165174	S3-537702732,S3-748328772,S3-907890311
S1-127235800	S2-30121123,S2-535360948,S3-425133739,S3-622235433
S1-12736716	S2-437596468,S2-564246707,S2-95400853,S3-715059476,S3-79344343
S1-127406091	
S1-127415291	S2-643932731
S1-127491481	S2-513454697,S2-561114920,S3-44136068,S3-797832842
S1-12754124	S2-13723643,S2-380588127,S3-118620090,S3-89212329
S1-12757016	S2-67593281,S2-732421595,S3-145451443,S3-652642161
S1-127582156	S2-186152184,S2-486579754,S2-970651370,S3-564991185
S1-127672447	S2-497830674,S3-669876268
S1-1278529	S2-708716762,S3-335872335,S3-626392841,S3-929008345
S1-127905374	S2-556697919,S3-23313816
S1-12799143	S2-667448901,S3-310288859,S3-650215847
S1-128002108	S2-320370670,S3-317514107,S3-499076371,S3-755450816
S1-128032366	S2-969622354,S2-988150592,S3-14291072,S3-786261969,S3-881433976
S1-128068983	S2-553540026,S3-57483537,S3-700697928
S1-12819640	S2-423497491,S3-157364325,S3-250827115
S1-1283236	S2-196421906,S2-503374742,S2-577509438,S2-865471729,S2-916553705,S3-188741508,S3-454729991
S1-128329582	S3-346271256,S3-979491955
S1-128403955	S2-284280471,S2-399093217,S2-959443567,S3-131337298
S1-128463665	S2-128416984,S3-103114817,S3-245395600,S3-646002457
S1-128484390	S2-769889935,S3-196243404,S3-960095768
S1-128694403	S2-687461876,S3-489956596,S3-59498472,S3-686363117
S1-128757903	S2-243146437,S3-128851672,S3-633800736,S3-717527276
S1-128777239	S2-541493234,S3-597241168,S3-812276599
S1-128839616	S2-534143335,S3-773918975,S3-969248323
S1-128861570	S2-390718121,S2-931311874,S3-978703166
S1-128937655	S2-449970480,S2-775014854,S2-864659401,S3-678287911,S3-945731484
S1-128969038	S2-196707185,S3-599571742,S3-911539676
S1-129011233	S2-324691024,S3-434956426,S3-866039855,S3-918497916
S1-129031302	S3-318652561,S3-950666554
S1-129047594	S2-72408644,S2-800535401,S2-879929821,S2-989769369,S3-224389817,S3-700458382
S1-129101333	S2-565450414,S2-814566592,S3-619270248
S1-129126625	S2-16658572,S2-19415740,S2-404682997,S3-690955944
S1-129273229	S3-1831781
S1-129379529	S2-222533330,S2-352617100,S2-369197528,S3-212927920
S1-129643631	S3-29119267,S3-511088033
S1-129669399	S2-123085859,S2-308781877,S3-553626836
S1-129745691	S2-228149382
S1-129937741	S2-183137682,S2-4859776,S2-665627791,S3-454996075
S1-130096876	S2-571371804,S2-599719412,S3-196939392,S3-962816769
S1-130100430	S2-433388629,S3-366872993,S3-414807234,S3-576873679
S1-130226636	S2-181838023,S3-567350757
S1-130237234	S2-432940487,S2-943523778
S1-130345826	S2-248029871,S3-46003470,S3-645038980
S1-13045390	S2-309064445,S3-216659335,S3-460072969,S3-852553535,S3-874310219
S1-130465468	S2-141517122
S1-130486302	S2-429482430,S3-178531567,S3-715807548
S1-130686395	
S1-130691263	S2-111656382
S1-130815409	S3-640575065,S3-90300367
S1-130926279	S2-435318479,S3-189773428,S3-487119211
S1-131089305	S2-222840911,S2-488349069,S2-734497645,S3-52897315,S3-582003319
S1-131097906	S3-635493526,S3-761373262
S1-131153996	S2-927274299
S1-131169189	S2-993812479,S3-12172993
S1-131190407	S2-454132253,S3-204436178,S3-401156838,S3-873999331
S1-131200142	S2-775458878,S2-921384475,S3-688092695,S3-850921984
S1-131238053	S2-79978759,S3-218787233,S3-224254394
S1-131321754	S3-129442391
S1-131321886	S2-479376995,S2-909354343
S1-131487371	S3-548724394
S1-131541821	S2-34131057,S2-542942400,S2-850765136,S2-975253465,S3-48639947,S3-966247622
S1-13194029	S2-224561182,S2-876893786,S3-777046737
S1-132087644	S2-442473012,S2-538411269,S3-541979425,S3-620912090
S1-132129655	
S1-132543012	S2-481632858,S3-293686319,S3-515436369,S3-595138002,S3-949301241
S1-132745400	S2-476199401,S2-608577965,S3-390363686,S3-508884835
S1-133601685	S2-429083719,S2-528135043,S3-233670062
S1-133716949	S2-663332632
S1-133902932	S2-763470160,S3-323523450
S1-134018352	S2-768889178,S3-290791479,S3-910575158
S1-134158735	S2-873591974,S3-370457795,S3-651914067,S3-877157729
S1-13429816	S2-548661385,S3-252960925,S3-982341136
S1-13438573	S2-639388383,S3-869074196
S1-134498428	S2-108815526,S2-233224296,S2-599571660,S3-515288301
S1-134554879	S2-741431663,S3-207517381,S3-286136442,S3-350549487,S3-365034788,S3-556733512,S3-772632166,S3-927551987
S1-134580273	S2-503911588,S2-749653632,S3-120881329,S3-505068966
S1-13467906	S2-908642303,S3-151824813,S3-687846793
S1-134689748	
S1-134707947	S2-234009225,S3-439590137,S3-623837305,S3-9304967
S1-134724140	S2-310187477
S1-134850201	S2-958109362,S3-920485036
S1-134944701	S2-943840484,S3-922931012
S1-134945953	S3-391732855,S3-627196025
S1-135082886	S2-665737686,S2-756199255
S1-135228752	S2-228319826,S2-831460509,S2-874036296,S3-278164580,S3-653824073
S1-135382833	S2-902711173,S3-940792965
S1-135506604	S2-542929335,S3-873094667,S3-891187386
S1-135741375	S2-354105944,S2-511477322
S1-135758878	S2-682107312,S2-730728040,S3-824160877
S1-135766935	
S1-136019033	S2-611310030,S3-158650212,S3-867541157
S1-136024674	S2-964245754,S3-293474183,S3-337577604,S3-668963567,S3-83299111
S1-136053230	S2-434019322,S2-461393621,S2-675315923
S1-136083472	S3-693025420
S1-136155051	S2-60454867,S3-296189699,S3-502355281,S3-655883385
S1-136210566	S2-343436971,S2-516972371,S2-523901926,S2-665307163,S2-717443608,S3-244181474
S1-136331559	S2-958266460,S3-613640445,S3-67097247
S1-136418002	
S1-136608506	S2-26381402,S3-369525617,S3-675247754
S1-136609440	S2-753999111,S3-760365086,S3-842259067
S1-136651905	S3-254427214
S1-13666912	S2-306025457,S3-957278684,S3-998829011
S1-136680408	S2-22443951,S2-731421123,S3-775020774
S1-136681781	S2-38053626,S2-516872704,S2-758975456,S3-932136528
S1-136757217	S2-596192663,S2-718936605,S3-421383278,S3-761476219,S3-898150964
S1-136804916	S2-749543499,S3-938936959
S1-136937886	S2-938341240,S3-427672694,S3-523153912
S1-137018555	S3-191277838,S3-899105994
S1-13702559	S2-263773222,S2-465107351,S3-670611892
S1-13709299	
S1-137098335	S2-8538671,S2-919200539
S1-137203431	S2-886543099,S3-207314768,S3-306026204,S3-322216140,S3-780043702
S1-13723036	S3-542465868
S1-137310222	S2-932765404,S3-908314132
S1-137409380	S2-496544561,S2-852680673,S3-780736360,S3-821427670,S3-930949948
S1-137664743	S2-668620336
S1-137743466	S2-85799448,S3-829516419,S3-895352715,S3-975676644
S1-138256304	S2-653413228,S3-153517200,S3-179719493
S1-138638623	S2-227515786,S3-64629096
S1-138655263	
S1-138665556	S2-206845835,S2-24484227,S2-374165486,S2-875684365,S3-816860189
S1-13872465	S2-377368067,S3-248503321,S3-635868779
S1-138759845	S2-34859606
S1-13884443	S2-363552218,S2-874083237,S3-157096740,S3-246661541,S3-713401927
S1-139030357	S2-225167244,S2-866803537,S3-357280404
S1-139312125	S2-373244132,S3-109289546,S3-604085314,S3-935320007
S1-139401572	S2-4195066,S2-546649066,S3-298983021,S3-741971330,S3-950867925
S1-139416217	S2-272000718,S3-70465262
S1-139619805	S2-61253037,S2-800233585,S3-103564473,S3-320100714,S3-924358017
S1-139755046	S2-263170711,S2-998402325
S1-13975725	S2-540213702,S2-836491971,S3-635472469
S1-139939972	S2-44553584,S2-602937150
S1-139987791	S2-418733616
S1-140144666	S2-679631432,S3-387071193,S3-842981608,S3-895394627,S3-898498905
S1-140155735	S2-394342834,S2-503597036,S2-642954278,S3-801222579,S3-8471573
S1-140176981	S2-603186246
S1-140307222	S2-189164583,S2-937267746,S3-267549217,S3-45843908
S1-140618461	S3-202725204,S3-225318749,S3-347730180,S3-955648588
S1-140662620	S2-703564944,S3-32088364,S3-683859507
S1-140674772	S2-171243022,S2-323626549,S2-758499298,S3-128247123,S3-237946599,S3-779820234
S1-140893419	S2-531909599,S2-785731216,S3-584752041,S3-614587304
S1-14104933	S2-200809193,S2-295935712,S2-79491162,S3-13302117,S3-21229890,S3-67551973
S1-141190743	S2-671588785,S3-846111803
S1-141206205	S2-183821089,S2-853214979,S2-983174282,S3-588218948
S1-141458779	
S1-141482662	S2-706556024,S2-752848892,S3-881510373
S1-14160905	S2-319041244,S2-381248468,S3-4299029,S3-934306929
S1-141618156	S3-544405893
S1-141674435	S3-399832782,S3-734980908,S3-804261588,S3-866808208
S1-141772988	S2-259088566,S2-67898651
S1-142026897	S2-696728972,S2-942146033,S3-961967989
S1-142142169	S2-187410096,S2-229631194,S3-341306333
S1-142161944	
S1-142499943	S2-83651328
S1-142513005	S2-680162252,S2-774534640,S3-422110595,S3-987307645
S1-142615091	S2-33466046,S3-554895807
S1-142628768	S2-143573222,S3-697630985
S1-142680816	S2-20400864,S2-566445308,S3-211889848,S3-300746652,S3-554701843
S1-142708264	S2-143159195,S2-390933916,S2-761929306,S3-742096712
S1-142780449	S2-98694476,S3-398563983,S3-524667458,S3-73891633
S1-142832040	S2-154782356
S1-143113788	S2-884346391,S3-35797940,S3-421680422,S3-960613953
S1-143155407	S2-22369935,S3-299386778,S3-662478950,S3-784386525,S3-786734092
S1-143397865	S2-498693698,S2-916777496,S3-101639404,S3-94362791
S1-14346911	S2-394383935,S3-592911270,S3-956709333
S1-143629036	S2-375047735,S2-783719979,S2-785913856,S3-615668885,S3-941201557,S3-971903105
S1-143689129	S2-229079286,S2-501680912,S3-181910336,S3-880969960
S1-14369218	S2-621712758,S2-697539123,S3-30758056,S3-339313209,S3-466479615,S3-561545525
S1-143719321	S2-790247865,S3-563414697,S3-617278847,S3-867069591
S1-143761243	S2-463054186,S2-570007000,S3-400132512,S3-759213493,S3-787124771
S1-143919660	S3-895108808
S1-143960680	S2-35712620,S2-488680289,S3-406704522,S3-839709973
S1-143963720	S2-506357398,S3-270752771,S3-454933851
S1-143985690	S2-528731848,S2-753814882,S3-182816557,S3-194864821,S3-53560174
S1-144016644	S2-368118233,S3-329991101
S1-144022104	S2-638533172,S3-748495061
S1-144032876	S2-563164292,S2-655436444
S1-144211409	S2-193782547,S2-250899438,S2-833772712,S3-174243257,S3-339463294
S1-144220154	S2-460263367,S3-562415060,S3-774561703,S3-901091285
S1-144256592	S2-584957551,S3-115665210,S3-787380659
S1-144276163	S2-434635907,S2-808360729
S1-144300788	
S1-144329304	
S1-144611000	S2-76636553
S1-144626283	S2-184996300,S2-255488089,S2-825553359,S3-536728314,S3-859294614,S3-981545036
S1-14463420	S2-713691416,S3-374814021,S3-418985259,S3-6688256,S3-891110719
S1-144668136	S2-50603351,S2-539032500,S2-970843544,S3-824608852
S1-144690286	S2-804398635,S2-893631415,S3-300220265,S3-44768936,S3-502808203,S3-534531903
S1-144832541	S2-2073769,S2-55516924
S1-144969543	S2-197921688,S3-107624957,S3-297948353,S3-752591650,S3-809460754
S1-14503478	S2-160246266,S2-296181512,S3-563331909
S1-145199623	S2-457806461,S3-228677408,S3-753387249,S3-776614108
S1-145483381	S3-244080508,S3-900662587,S3-993552756
S1-145542392	S2-463265543,S2-932507856,S3-103699985,S3-170660047,S3-364064314
S1-145602117	S2-354582927
S1-145647351	
S1-145664418	S2-490145229,S2-822525544,S3-101693441,S3-216410945,S3-538395136,S3-704761257
S1-145737939	S2-175800881,S3-212663563,S3-44441987,S3-69524125
S1-14575777	
S1-145935102	S3-817880257
S1-146308440	S2-65218566,S3-126098440,S3-614366533
